1028,948,276,883
1192,976,424,872
872,845,112,822
870,854,111,829
872,846,112,823
1099,936,338,856
874,852,114,827
1029,948,277,882
1028,947,275,884
1157,959,392,864
876,859,118,834
873,843,111,821
881,849,121,824
1098,936,338,856
870,853,112,831
885,850,126,823
1191,865,410,775
432,946,423,871
1026,949,275,883
1193,977,426,872
1156,958,393,863
885,848,124,821
880,851,122,821
871,853,116,828
1157,957,392,864
886,850,126,824
286,847,986,604
1099,937,339,857
1190,865,410,776
420,918,906,891
432,945,987,599
280,846,975,600
287,851,987,604
536,928,510,441
1192,862,409,775
444,917,1089,476
876,858,118,831
1190,976,952,603
437,941,890,543
423,918,975,607
290,819,978,603
453,910,274,884
423,915,973,604
873,857,1323,892
499,921,961,564
535,924,512,437
292,848,949,495
500,922,962,567
1025,953,121,999
445,922,974,604
